,0,1
0,0.0,-0.2445
1,0.001,-0.2425
2,0.002,-0.2415
3,0.003,-0.241
4,0.004,-0.2315
5,0.005,-0.226
6,0.006,-0.225
7,0.007,-0.2345
8,0.008,-0.2345
9,0.009000000000000001,-0.2235
10,0.01,-0.2205
11,0.011,-0.227
12,0.012,-0.232
13,0.013000000000000001,-0.2375
14,0.014,-0.2445
15,0.015,-0.237
16,0.016,-0.224
17,0.017,-0.2265
18,0.018000000000000002,-0.2265
19,0.019,-0.2275
20,0.02,-0.2325
21,0.021,-0.226
22,0.022,-0.2255
23,0.023,-0.211
24,0.024,-0.2135
25,0.025,-0.2235
26,0.026000000000000002,-0.22
27,0.027,-0.216
28,0.028,-0.2
29,0.029,-0.1965
30,0.03,-0.1965
31,0.031,-0.209
32,0.032,-0.2385
33,0.033,-0.252
34,0.034,-0.2385
35,0.035,-0.2265
36,0.036000000000000004,-0.2345
37,0.037,-0.2545
38,0.038,-0.2475
39,0.039,-0.231
40,0.04,-0.23
41,0.041,-0.22
42,0.042,-0.2145
43,0.043000000000000003,-0.2145
44,0.044,-0.2275
45,0.045,-0.2245
46,0.046,-0.2135
47,0.047,-0.2005
48,0.048,-0.2065
49,0.049,-0.228
50,0.05,-0.219
51,0.051000000000000004,-0.2155
52,0.052000000000000005,-0.2155
53,0.053,-0.2215
54,0.054,-0.2315
55,0.055,-0.228
56,0.056,-0.219
57,0.057,-0.221
58,0.058,-0.227
59,0.059000000000000004,-0.2265
60,0.06,-0.229
61,0.061,-0.2315
62,0.062,-0.2355
63,0.063,-0.2235
64,0.064,-0.2135
65,0.065,-0.216
66,0.066,-0.211
67,0.067,-0.2125
68,0.068,-0.2185
69,0.069,-0.2115
70,0.07,-0.2035
71,0.07100000000000001,-0.201
72,0.07200000000000001,-0.2045
73,0.073,-0.2305
74,0.074,-0.233
75,0.075,-0.2175
76,0.076,-0.222
77,0.077,-0.225
78,0.078,-0.2135
79,0.079,-0.2085
80,0.08,-0.2145
81,0.081,-0.2115
82,0.082,-0.2085
83,0.083,-0.208
84,0.084,-0.2105
85,0.085,-0.2155
86,0.08600000000000001,-0.2115
87,0.08700000000000001,-0.204
88,0.088,-0.193
89,0.089,-0.1775
90,0.09,-0.2005
91,0.091,-0.19
92,0.092,-0.162
93,0.093,-0.1925
94,0.094,-0.1995
95,0.095,-0.1945
96,0.096,-0.188
97,0.097,-0.194
98,0.098,-0.2125
99,0.099,-0.192
100,0.1,-0.167
101,0.101,-0.1615
102,0.10200000000000001,-0.168
103,0.10300000000000001,-0.162
104,0.10400000000000001,-0.157
105,0.105,-0.166
106,0.106,-0.151
107,0.107,-0.146
108,0.108,-0.1525
109,0.109,-0.146
110,0.11,-0.141
111,0.111,-0.142
112,0.112,-0.145
113,0.113,-0.1605
114,0.114,-0.156
115,0.115,-0.1385
116,0.116,-0.136
117,0.117,-0.137
118,0.11800000000000001,-0.154
119,0.11900000000000001,-0.135
120,0.12,-0.1175
121,0.121,-0.1245
122,0.122,-0.125
123,0.123,-0.1385
124,0.124,-0.12
125,0.125,-0.0915
126,0.126,-0.0885
127,0.127,-0.0895
128,0.128,-0.093
129,0.129,-0.0775
130,0.13,-0.078
131,0.131,-0.09
132,0.132,-0.097
133,0.133,-0.0985
134,0.134,-0.094
135,0.135,-0.102
136,0.136,-0.092
137,0.137,-0.092
138,0.138,-0.0815
139,0.139,-0.0755
140,0.14,-0.079
141,0.14100000000000001,-0.067
142,0.14200000000000002,-0.072
143,0.14300000000000002,-0.0585
144,0.14400000000000002,-0.0525
145,0.145,-0.0505
146,0.146,-0.0485
147,0.147,-0.047
148,0.148,-0.038
149,0.149,-0.0335
150,0.15,-0.014
151,0.151,-0.0195
152,0.152,-0.0285
153,0.153,-0.037
154,0.154,-0.0255
155,0.155,-0.0115
156,0.156,-0.0165
157,0.157,-0.0215
158,0.158,-0.055
159,0.159,-0.0645
160,0.16,-0.04
161,0.161,-0.007
162,0.162,-0.034
163,0.163,-0.0515
164,0.164,-0.03
165,0.165,-0.037
166,0.166,-0.0365
167,0.167,-0.02
168,0.168,0.001
169,0.169,0.0115
170,0.17,0.0055
171,0.171,-0.0165
172,0.17200000000000001,-0.0235
173,0.17300000000000001,-0.013
174,0.17400000000000002,0.003
175,0.17500000000000002,-0.013
176,0.176,-0.022
177,0.177,-0.021
178,0.178,-0.0325
179,0.179,-0.034
180,0.18,-0.0395
181,0.181,-0.0185
182,0.182,-0.011
183,0.183,-0.011
184,0.184,0.0
185,0.185,-0.0025
186,0.186,-0.0125
187,0.187,-0.0175
188,0.188,-0.018
189,0.189,-0.02
190,0.19,-0.0225
191,0.191,-0.0275
192,0.192,-0.022
193,0.193,-0.031
194,0.194,-0.041
195,0.195,-0.046
196,0.196,-0.046
197,0.197,-0.0415
198,0.198,-0.0385
199,0.199,-0.0265
200,0.2,-0.0345
201,0.201,-0.037
202,0.202,-0.0355
203,0.203,-0.0395
204,0.20400000000000001,-0.0455
205,0.20500000000000002,-0.049
206,0.20600000000000002,-0.04
207,0.20700000000000002,-0.0265
